"step","time","part","epoch","loss","lr"
20,"2023-08-13 23:32:24.597853","train",0,0.5722895264625549,8.003480193001814e-05
40,"2023-08-13 23:32:50.749878","train",0,0.7832966446876526,8.013920519679262e-05
60,"2023-08-13 23:33:17.564422","train",0,0.15023404359817505,8.03132022306665e-05
80,"2023-08-13 23:33:44.054932","train",0,0.3198714852333069,8.05567804161556e-05
100,"2023-08-13 23:34:10.578357","train",0,0.41361790895462036,8.086992209286204e-05
120,"2023-08-13 23:34:37.495607","train",0,1.3560330867767334,8.125260455675511e-05
140,"2023-08-13 23:35:04.465389","train",0,0.31861621141433716,8.17048000618173e-05
160,"2023-08-13 23:35:30.804105","train",0,0.3957674503326416,8.222647582205615e-05
180,"2023-08-13 23:35:56.911040","train",0,0.15091167390346527,8.281759401388214e-05
200,"2023-08-13 23:36:17.669241","train",0,0.12180617451667786,8.347811177884887e-05
220,"2023-08-13 23:36:35.328041","train",0,0.06020170822739601,8.420798122676281e-05
240,"2023-08-13 23:36:53.453342","train",0,0.30264925956726074,8.50071494391542e-05
